path	category	release_status	record_scope	bytes	sha256	license_status	license_gate
README.md	release-documentation	canonical-candidate	package README: directory layout, provenance boundaries, reuse notes	20563	04e547c1b9e212877cd3a66f6e035d0688471c1b8d931f9bdd1b7fc969c40fec	AUTHOR_GATE_UNRESOLVED	Project-produced artifact. The depositor selects the deposit licence; replace only when the deposit metadata supplies the licence identifier.
config/codes/biome_codes.yml	config-source	canonical-candidate	biome and environmental-feature code table consumed by the site generator	1323	327d898b53fb669ffac6df4aef50cc5eb3fc4429256a4ebf12a857196d402cb4	AUTHOR_GATE_UNRESOLVED	Project-produced artifact. The depositor selects the deposit licence; replace only when the deposit metadata supplies the licence identifier.
config/codes/xrf_chebi_mapping.yml	xrf-mapping	audit-evidence	ChEBI-only projection regression-tested against the canonical mapping	4219	b2178f4f8f04827c4336453239bad77e5837973cb7672495eab12caaa0d33a48	AUTHOR_GATE_UNRESOLVED	Project-produced artifact. The depositor selects the deposit licence; replace only when the deposit metadata supplies the licence identifier.
config/codes/xrf_chebi_mapping_validated.yml	xrf-mapping	audit-evidence	legacy validated ChEBI projection retained as an exact regression copy of the canonical chemical mapping	4219	b2178f4f8f04827c4336453239bad77e5837973cb7672495eab12caaa0d33a48	AUTHOR_GATE_UNRESOLVED	Project-produced artifact. The depositor selects the deposit licence; replace only when the deposit metadata supplies the licence identifier.
config/codes/xrf_chemical_mapping.yml	xrf-mapping	canonical-candidate	single canonical mapping for all 93 instrument reporting channels	11723	fcebc8ba8c10344fa3f86109d35d7100b7bc7008aacbca9124098d2eb0628a3e	AUTHOR_GATE_UNRESOLVED	Project-produced artifact. The depositor selects the deposit licence; replace only when the deposit metadata supplies the licence identifier.
config/codes/xrf_pubchem_snapshot.json	external-reference-snapshot	audit-evidence	dated PubChem property snapshot used by the fail-closed mapping audit	18903	6238d737e15036e8f1fbb12f5d826343c583950e6295b8bf11ff0b21d7936a85	AUTHOR_GATE_UNRESOLVED	Project-produced artifact. The depositor selects the deposit licence; replace only when the deposit metadata supplies the licence identifier.
deploy_onto.sh	release-code	operational-reference	deployment helper for the public endpoint; not required to rebuild records	7020	67458123feec50529a338bae465400be37bde8214245df668897a9b5dd12dec7	AUTHOR_GATE_UNRESOLVED	Project-produced artifact. The depositor selects the deposit licence; replace only when the deposit metadata supplies the licence identifier.
environment/environment.yml	execution-environment	audit-evidence	pinned Conda recipe, direct Python requirements and hash-locked Python environment used by the reproducible workflow	813	f1c08d79c0fb85340f2bb608fbfa3c58404cbda0a8d9cd0a580a4a43e90c1e8f	AUTHOR_GATE_UNRESOLVED	Project-produced artifact. The depositor selects the deposit licence; replace only when the deposit metadata supplies the licence identifier.
environment/requirements.in	execution-environment	audit-evidence	pinned Conda recipe, direct Python requirements and hash-locked Python environment used by the reproducible workflow	518	c8594d18b551b824f015469f03c9f0c4451759eff1752d48532bb5afaf547ab1	AUTHOR_GATE_UNRESOLVED	Project-produced artifact. The depositor selects the deposit licence; replace only when the deposit metadata supplies the licence identifier.
environment/requirements.lock.txt	execution-environment	audit-evidence	pinned Conda recipe, direct Python requirements and hash-locked Python environment used by the reproducible workflow	78869	b10cf25f9bd92fb75a13c46ed71c2aaf6d4debd4f9faed3dc2a759bdd3617fa0	AUTHOR_GATE_UNRESOLVED	Project-produced artifact. The depositor selects the deposit licence; replace only when the deposit metadata supplies the licence identifier.
