path	field_or_pattern	data_type	unit	missing_convention	description
PRE_RELEASE_MANIFEST.tsv	bytes	integer	bytes	never blank	Exact file size.
PRE_RELEASE_MANIFEST.tsv	category	string	not applicable	never blank	Artifact category assigned by the fail-closed manifest classifier.
PRE_RELEASE_MANIFEST.tsv	license_gate	string	not applicable	never blank	Evidence required to close the licence gate.
PRE_RELEASE_MANIFEST.tsv	license_status	string	not applicable	never blank	Open project or third-party licence gate.
PRE_RELEASE_MANIFEST.tsv	path	path	not applicable	never blank	Path relative to the package root.
PRE_RELEASE_MANIFEST.tsv	record_scope	string	not applicable	never blank	One-line description of the artifact and its reuse boundary.
PRE_RELEASE_MANIFEST.tsv	release_status	string	not applicable	never blank	Canonical, audit, legacy-excluded, derived-review, or operational disposition.
PRE_RELEASE_MANIFEST.tsv	sha256	hexadecimal string	not applicable	never blank	SHA-256 digest of the exact staged bytes.
evidence/control-audit/control_analysis_roles.tsv	assay	string	not applicable	never blank	Molecular assay to which the record is applicable.
evidence/control-audit/control_analysis_roles.tsv	control_role	string	not applicable	never blank	Control role as defined by the file-specific audit method.
evidence/control-audit/control_analysis_roles.tsv	extraction_date	date	ISO 8601 calendar date	blank means unknown or not applicable as bounded by row status	Extraction date as defined by the file-specific audit method.
evidence/control-audit/control_analysis_roles.tsv	profile_id	string	not applicable	never blank	Feature-table profile identifier.
evidence/control-audit/control_analysis_roles.tsv	source	string	not applicable	never blank	Source as defined by the file-specific audit method.
evidence/control-audit/control_analysis_roles.tsv	use	string	not applicable	never blank	Use as defined by the file-specific audit method.
evidence/control-audit/positive_control_dominant_taxa.tsv	profile_id	string	not applicable	never blank	Feature-table profile identifier.
evidence/control-audit/positive_control_dominant_taxa.tsv	rank	integer	not applicable	never blank	Rank as defined by the file-specific audit method.
evidence/control-audit/positive_control_dominant_taxa.tsv	read_fraction	number	proportion (0 to 1)	never blank	Read fraction as defined by the file-specific audit method.
evidence/control-audit/positive_control_dominant_taxa.tsv	reads	integer	read count	never blank	Reads as defined by the file-specific audit method.
evidence/control-audit/positive_control_dominant_taxa.tsv	taxonomy	string	not applicable	never blank	Taxonomy as defined by the file-specific audit method.
evidence/control-audit/positive_control_expected_asv_occurrences.tsv	biological_profiles_present	integer	count	never blank	Biological profiles present as defined by the file-specific audit method.
evidence/control-audit/positive_control_expected_asv_occurrences.tsv	biological_reads	integer	read count	never blank	Biological reads as defined by the file-specific audit method.
evidence/control-audit/positive_control_expected_asv_occurrences.tsv	feature_id	string	not applicable	never blank	Amplicon sequence variant identifier.
evidence/control-audit/positive_control_expected_asv_occurrences.tsv	interpretation	string	not applicable	never blank	Interpretation as defined by the file-specific audit method.
evidence/control-audit/positive_control_expected_asv_occurrences.tsv	maximum_biological_profile_fraction	number	proportion (0 to 1)	never blank	Maximum biological profile fraction as defined by the file-specific audit method.
evidence/control-audit/positive_control_expected_asv_occurrences.tsv	maximum_nearest_index_profile_fraction	number	proportion (0 to 1)	never blank	Maximum nearest index profile fraction as defined by the file-specific audit method.
evidence/control-audit/positive_control_expected_asv_occurrences.tsv	maximum_negative_profile_fraction	number	proportion (0 to 1)	never blank	Maximum negative profile fraction as defined by the file-specific audit method.
evidence/control-audit/positive_control_expected_asv_occurrences.tsv	nearest_index_profile_ids	string	not applicable	blank means unknown or not applicable as bounded by row status	Nearest index profile ids as defined by the file-specific audit method.
evidence/control-audit/positive_control_expected_asv_occurrences.tsv	nearest_index_profiles_present	integer	count	never blank	Nearest index profiles present as defined by the file-specific audit method.
evidence/control-audit/positive_control_expected_asv_occurrences.tsv	nearest_index_reads	integer	read count	never blank	Nearest index reads as defined by the file-specific audit method.
evidence/control-audit/positive_control_expected_asv_occurrences.tsv	negative_profile_ids	string	not applicable	blank means unknown or not applicable as bounded by row status	Negative profile ids as defined by the file-specific audit method.
evidence/control-audit/positive_control_expected_asv_occurrences.tsv	negative_profiles_present	integer	count	never blank	Negative profiles present as defined by the file-specific audit method.
evidence/control-audit/positive_control_expected_asv_occurrences.tsv	negative_reads	integer	read count	never blank	Negative reads as defined by the file-specific audit method.
evidence/control-audit/positive_control_expected_asv_occurrences.tsv	positive_profile_id	string	not applicable	never blank	Positive profile id as defined by the file-specific audit method.
evidence/control-audit/positive_control_expected_asv_occurrences.tsv	product	string	not applicable	never blank	Product as defined by the file-specific audit method.
evidence/control-audit/positive_control_expected_asv_occurrences.tsv	source_read_fraction	number	proportion (0 to 1)	never blank	Source read fraction as defined by the file-specific audit method.
evidence/control-audit/positive_control_expected_asv_occurrences.tsv	source_reads	integer	read count	never blank	Source reads as defined by the file-specific audit method.
evidence/control-audit/positive_control_expected_asv_occurrences.tsv	taxonomy	string	not applicable	never blank	Taxonomy as defined by the file-specific audit method.
evidence/control-audit/positive_control_expected_asv_occurrences.tsv	trip	string	not applicable	never blank	Trip as defined by the file-specific audit method.
evidence/control-audit/positive_control_expected_taxon_recovery.tsv	comparison_name	string	not applicable	never blank	Comparison name as defined by the file-specific audit method.
evidence/control-audit/positive_control_expected_taxon_recovery.tsv	comparison_rank	string	not applicable	never blank	Comparison rank as defined by the file-specific audit method.
evidence/control-audit/positive_control_expected_taxon_recovery.tsv	expected_species	string	not applicable	never blank	Expected species as defined by the file-specific audit method.
evidence/control-audit/positive_control_expected_taxon_recovery.tsv	manufacturer_expected_basis	string	not applicable	never blank	Manufacturer expected basis as defined by the file-specific audit method.
evidence/control-audit/positive_control_expected_taxon_recovery.tsv	manufacturer_expected_value	number	not applicable	never blank	Manufacturer expected value as defined by the file-specific audit method.
evidence/control-audit/positive_control_expected_taxon_recovery.tsv	observed_read_fraction	number	proportion (0 to 1)	never blank	Observed read fraction as defined by the file-specific audit method.
evidence/control-audit/positive_control_expected_taxon_recovery.tsv	observed_reads_at_genus	integer	read count	never blank	Observed reads at genus as defined by the file-specific audit method.
evidence/control-audit/positive_control_expected_taxon_recovery.tsv	organism_group	string	not applicable	never blank	Organism group as defined by the file-specific audit method.
evidence/control-audit/positive_control_expected_taxon_recovery.tsv	product	string	not applicable	never blank	Product as defined by the file-specific audit method.
evidence/control-audit/positive_control_expected_taxon_recovery.tsv	product_assignment_status	string	not applicable	never blank	Evidence boundary for a positive-labelled library/product mapping; the July mappings are provisional trip-design hypotheses.
evidence/control-audit/positive_control_expected_taxon_recovery.tsv	profile_id	string	not applicable	never blank	Feature-table profile identifier.
evidence/control-audit/positive_control_expected_taxon_recovery.tsv	quantitative_interpretation	string	not applicable	never blank	Quantitative interpretation as defined by the file-specific audit method.
evidence/control-audit/positive_control_expected_taxon_recovery.tsv	recovery_call	string	not applicable	never blank	Recovery call as defined by the file-specific audit method.
evidence/control-audit/positive_control_expected_taxon_recovery.tsv	trip	string	not applicable	never blank	Trip as defined by the file-specific audit method.
evidence/control-audit/positive_control_index_neighbours.tsv	absolute_numeric_index_distance	integer	not applicable	never blank	Absolute numeric index distance as defined by the file-specific audit method.
evidence/control-audit/positive_control_index_neighbours.tsv	index_family	string	not applicable	never blank	Index family as defined by the file-specific audit method.
evidence/control-audit/positive_control_index_neighbours.tsv	lane	integer	not applicable	never blank	Three-digit sequencing-lane code parsed from the frozen FASTQ path.
evidence/control-audit/positive_control_index_neighbours.tsv	neighbour_control_class	string	not applicable	never blank	Neighbour control class as defined by the file-specific audit method.
evidence/control-audit/positive_control_index_neighbours.tsv	neighbour_index_number	integer	not applicable	never blank	Neighbour index number as defined by the file-specific audit method.
evidence/control-audit/positive_control_index_neighbours.tsv	neighbour_profile_id	string	not applicable	never blank	Neighbour profile id as defined by the file-specific audit method.
evidence/control-audit/positive_control_index_neighbours.tsv	positive_index_number	integer	not applicable	never blank	Positive index number as defined by the file-specific audit method.
evidence/control-audit/positive_control_index_neighbours.tsv	positive_profile_id	string	not applicable	never blank	Positive profile id as defined by the file-specific audit method.
evidence/control-audit/positive_control_profiles.tsv	evaluable_stage	string	not applicable	never blank	Evaluable stage as defined by the file-specific audit method.
evidence/control-audit/positive_control_profiles.tsv	expected_bacterial_genera	integer	not applicable	never blank	Expected bacterial genera as defined by the file-specific audit method.
evidence/control-audit/positive_control_profiles.tsv	expected_bacterial_genera_recovered	integer	not applicable	never blank	Expected bacterial genera recovered as defined by the file-specific audit method.
evidence/control-audit/positive_control_profiles.tsv	expected_bacterial_genus_read_fraction	number	proportion (0 to 1)	never blank	Expected bacterial genus read fraction as defined by the file-specific audit method.
evidence/control-audit/positive_control_profiles.tsv	expected_bacterial_genus_reads	integer	read count	never blank	Expected bacterial genus reads as defined by the file-specific audit method.
evidence/control-audit/positive_control_profiles.tsv	observed_asvs	integer	count	never blank	Observed asvs as defined by the file-specific audit method.
evidence/control-audit/positive_control_profiles.tsv	product	string	not applicable	never blank	Product as defined by the file-specific audit method.
evidence/control-audit/positive_control_profiles.tsv	product_assignment_status	string	not applicable	never blank	Evidence boundary for a positive-labelled library/product mapping; the July mappings are provisional trip-design hypotheses.
evidence/control-audit/positive_control_profiles.tsv	product_form	string	not applicable	never blank	Product form as defined by the file-specific audit method.
evidence/control-audit/positive_control_profiles.tsv	profile_id	string	not applicable	never blank	Feature-table profile identifier.
evidence/control-audit/positive_control_profiles.tsv	profile_interpretation	string	not applicable	never blank	Profile interpretation as defined by the file-specific audit method.
evidence/control-audit/positive_control_profiles.tsv	reads	integer	read count	never blank	Reads as defined by the file-specific audit method.
evidence/control-audit/positive_control_profiles.tsv	role_in_contaminant_model	string	not applicable	never blank	Role in contaminant model as defined by the file-specific audit method.
evidence/control-audit/positive_control_profiles.tsv	status	string	not applicable	never blank	Evidence or curation status of the record.
evidence/control-audit/positive_control_profiles.tsv	trip	string	not applicable	never blank	Trip as defined by the file-specific audit method.
evidence/control-audit/positive_control_spillover_summary.tsv	biological_profiles_with_traced_asv	integer	count	never blank	Biological profiles with traced asv as defined by the file-specific audit method.
evidence/control-audit/positive_control_spillover_summary.tsv	expected_genus_asvs_traced	integer	count	never blank	Expected genus asvs traced as defined by the file-specific audit method.
evidence/control-audit/positive_control_spillover_summary.tsv	expected_genus_reads_in_source	integer	read count	never blank	Expected genus reads in source as defined by the file-specific audit method.
evidence/control-audit/positive_control_spillover_summary.tsv	interpretation	string	not applicable	never blank	Interpretation as defined by the file-specific audit method.
evidence/control-audit/positive_control_spillover_summary.tsv	nearest_index_profiles	string	count	never blank	Nearest index profiles as defined by the file-specific audit method.
evidence/control-audit/positive_control_spillover_summary.tsv	nearest_index_profiles_with_traced_asv	integer	count	never blank	Nearest index profiles with traced asv as defined by the file-specific audit method.
evidence/control-audit/positive_control_spillover_summary.tsv	negative_control_profiles_with_traced_asv	integer	count	never blank	Negative control profiles with traced asv as defined by the file-specific audit method.
evidence/control-audit/positive_control_spillover_summary.tsv	positive_profile_id	string	not applicable	never blank	Positive profile id as defined by the file-specific audit method.
evidence/control-audit/positive_control_spillover_summary.tsv	product	string	not applicable	never blank	Product as defined by the file-specific audit method.
evidence/control-audit/positive_control_spillover_summary.tsv	source_reads	integer	read count	never blank	Source reads as defined by the file-specific audit method.
evidence/control-audit/positive_control_spillover_summary.tsv	traced_asv_reads_in_biological_profiles	integer	read count	never blank	Traced asv reads in biological profiles as defined by the file-specific audit method.
evidence/control-audit/positive_control_spillover_summary.tsv	traced_asv_reads_in_nearest_indices	integer	read count	never blank	Traced asv reads in nearest indices as defined by the file-specific audit method.
evidence/control-audit/positive_control_spillover_summary.tsv	traced_asv_reads_in_negative_controls	integer	read count	never blank	Traced asv reads in negative controls as defined by the file-specific audit method.
evidence/control-audit/positive_control_spillover_summary.tsv	traced_asvs_detected_in_biological_profiles	integer	count	never blank	Traced asvs detected in biological profiles as defined by the file-specific audit method.
evidence/control-audit/positive_control_spillover_summary.tsv	traced_asvs_detected_in_nearest_indices	integer	count	never blank	Traced asvs detected in nearest indices as defined by the file-specific audit method.
evidence/control-audit/positive_control_spillover_summary.tsv	traced_asvs_detected_in_negative_controls	integer	count	never blank	Traced asvs detected in negative controls as defined by the file-specific audit method.
evidence/control-audit/positive_control_spillover_summary.tsv	trip	string	not applicable	never blank	Trip as defined by the file-specific audit method.
evidence/control-audit/sensitivity_inputs/alpha.tsv		string	not applicable	never blank	 as defined by the file-specific audit method.
evidence/control-audit/sensitivity_inputs/alpha.tsv	Season	string	not applicable	never blank	Season as defined by the file-specific audit method.
evidence/control-audit/sensitivity_inputs/alpha.tsv	Site	integer	not applicable	never blank	Site as defined by the file-specific audit method.
evidence/control-audit/sensitivity_inputs/alpha.tsv	Trip	integer	not applicable	never blank	Trip as defined by the file-specific audit method.
evidence/control-audit/sensitivity_inputs/alpha.tsv	Type	string	not applicable	never blank	Type as defined by the file-specific audit method.
evidence/control-audit/sensitivity_inputs/alpha.tsv	depth	number	not applicable	never blank	Depth as defined by the file-specific audit method.
evidence/control-audit/sensitivity_inputs/alpha.tsv	pielou	number	not applicable	blank means unknown or not applicable as bounded by row status	Pielou as defined by the file-specific audit method.
evidence/control-audit/sensitivity_inputs/alpha.tsv	richness_rare	number	not applicable	blank means unknown or not applicable as bounded by row status	Richness rare as defined by the file-specific audit method.
evidence/control-audit/sensitivity_inputs/alpha.tsv	richness_raw	integer	not applicable	never blank	Richness raw as defined by the file-specific audit method.
evidence/control-audit/sensitivity_inputs/alpha.tsv	shannon	number	not applicable	never blank	Shannon as defined by the file-specific audit method.
evidence/control-audit/sensitivity_inputs/alpha_diversity_sensitivity.tsv	extraction_blank	string	not applicable	never blank	Extraction blank as defined by the file-specific audit method.
evidence/control-audit/sensitivity_inputs/alpha_diversity_sensitivity.tsv	position	string	not applicable	never blank	Position as defined by the file-specific audit method.
evidence/control-audit/sensitivity_inputs/alpha_diversity_sensitivity.tsv	profile_id	string	not applicable	never blank	Feature-table profile identifier.
evidence/control-audit/sensitivity_inputs/alpha_diversity_sensitivity.tsv	reads_after	integer	read count	never blank	Reads after as defined by the file-specific audit method.
evidence/control-audit/sensitivity_inputs/alpha_diversity_sensitivity.tsv	reads_before	integer	read count	never blank	Reads before as defined by the file-specific audit method.
evidence/control-audit/sensitivity_inputs/alpha_diversity_sensitivity.tsv	removed_read_fraction	number	proportion (0 to 1)	never blank	Removed read fraction as defined by the file-specific audit method.
evidence/control-audit/sensitivity_inputs/alpha_diversity_sensitivity.tsv	richness_after	integer	not applicable	never blank	Richness after as defined by the file-specific audit method.
evidence/control-audit/sensitivity_inputs/alpha_diversity_sensitivity.tsv	richness_before	integer	not applicable	never blank	Richness before as defined by the file-specific audit method.
