stage	analysis	status	implementation	package_path	decision_rule
evidence	Field environmental metadata curation	canonical	data-paper/scripts/generate_env_table.py;data/metadata/samples/environmental_measurement_corrections.tsv	scripts/metadata/generate_env_table.py;metadata/samples/environmental_measurement_corrections.tsv	Verify every corrected source cell exactly; restore workbook-supported campaign dates; quarantine unresolved out-of-range values; reject retained measurements outside declared physical ranges; render the curated TSV and supplementary table deterministically.
evidence	Transect-altitude profile and figure	canonical	scripts/analysis/transect_altitude_figure.py;data/metadata/geodata/site_altitudes.tsv	scripts/analysis/transect_altitude_figure.py;metadata/geodata/site_altitudes.tsv	Require exactly numeric sites 1–60 with finite coordinates and altitude; compute cumulative Haversine distance in site order; archive the derived profile, summary and checksums; require generated figure bytes to match both staged copies.
evidence	Sample and release ledger	canonical	scripts/release/build_release_evidence.py	scripts/release/build_release_evidence.py	All cross-layer counts and exclusions are explicit.
evidence	Field/laboratory XRF audit	canonical	scripts/xrf/audit_xrf_provenance.py	scripts/xrf/audit_xrf_provenance.py	Field and laboratory workflows remain distinct; aggregation is sensitivity-tested.
evidence	XRF chemical-identifier audit	canonical	scripts/xrf/audit_xrf_chemical_mapping.py	scripts/xrf/audit_xrf_chemical_mapping.py	Resolve every non-null mapping against pinned ChEBI and PubChem records; require matching formula, neutral charge and atom-versus-oxide type; preserve audited nulls and treat oxide columns only as reporting channels.
evidence	Field-XRF Site 10 competency query	canonical	scripts/validation/validate_competency_query.py;data-paper/zenodo/sparql/field_xrf_site10.rq	scripts/validation/validate_competency_query.py;sparql/field_xrf_site10.rq	Execute the archived query against the canonical base, sites and XRF OWL modules; require exactly 46 rows from two field-XRF processes targeting only Site 10; archive the exact query, result table, engine version, input hashes and evidence checksums.
evidence	Raw-read primer identity audit	external-frozen	analysis/v3/primer_identity_audit.py;analysis/v3/primer_identity_audit/source_paths.tsv	scripts/analysis/primer_identity_audit.py;evidence/primer-identity/source_paths.tsv	Stream the first 10,000 records from each of 12 exact IBEX FASTQ paths, retain the source-manifest row and path for every file, and distinguish Bakt_341F/Bakt_785R from the retired 806RB record. The package contains code, counts and the exact path ledger but not the controlled raw reads, so re-execution requires authorized access to those paths.
kg	Conservative Trips 1-5 taxonomy mapping	canonical	scripts/taxonomy/build_canonical_taxonomy.py	scripts/taxonomy/build_canonical_taxonomy.py	Require complete source-taxonomy and feature-table coverage, validate external identifiers against the pinned NCBI ontology in rank and lineage context, replace invalid or ambiguous identities with lineage-and-rank-scoped project identifiers, and retain every disposition in the decision ledger.
kg	Clean taxonomy ontology module	canonical	scripts/taxonomy/build_canonical_taxonomy.py	scripts/taxonomy/build_canonical_taxonomy.py	Generate OWL and Turtle only from the corrected passing mapping; both serializations and their structural audit must agree before ABox generation.
kg	Corrected taxonomy ABox generation	canonical	scripts/rdf/generate_taxonomy_abox.groovy	scripts/rdf/generate_taxonomy_abox.groovy	Accept only the checksum-verified corrected mapping manifest and explicit Trips 1-5, SRA, and clean-module inputs; record all input and output hashes.
