rank	pathway	description	prevalence	mean_relative_abundance
1	PWY-3781	aerobic respiration I (cytochrome c)	1	0.01707412863
2	PWY-7111	pyruvate fermentation to isobutanol (engineered)	1	0.0103090056
3	PWY-5101	L-isoleucine biosynthesis II	1	0.009379888166
4	ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	1	0.009121792803
5	VALSYN-PWY	L-valine biosynthesis	1	0.009121792803
6	BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched amino acid biosynthesis	1	0.008021016598
7	PWY-5973	cis-vaccenate biosynthesis	1	0.007632988153
8	PWY-7663	gondoate biosynthesis (anaerobic)	1	0.007490674566
9	FASYN-ELONG-PWY	fatty acid elongation -- saturated	1	0.007388995679
10	TCA	TCA cycle I (prokaryotic)	1	0.007264992869
11	PWY-6969	TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)	1	0.00719587596
12	PWY-5103	L-isoleucine biosynthesis III	1	0.007158279273
13	PWY-7094	fatty acid salvage	1	0.007155296655
14	PWY-5667	CDP-diacylglycerol biosynthesis I	1	0.006932775605
15	PWY0-1319	CDP-diacylglycerol biosynthesis II	1	0.006932775605
16	FAO-PWY	fatty acid &beta;-oxidation I	1	0.006824988297
17	NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	1	0.006733247821
18	PWY-7208	superpathway of pyrimidine nucleobases salvage	1	0.006724384297
19	PWY-7229	superpathway of adenosine nucleotides de novo biosynthesis I	1	0.006638339501
20	PHOSLIPSYN-PWY	superpathway of phospholipid biosynthesis I (bacteria)	1	0.006580766104
21	PWY-3001	superpathway of L-isoleucine biosynthesis I	1	0.006554754614
22	PWY-5695	urate biosynthesis/inosine 5'-phosphate degradation	1	0.006519171869
23	PWY-2942	L-lysine biosynthesis III	1	0.006467257162
24	REDCITCYC	TCA cycle VIII (helicobacter)	1	0.006461362698
25	PWY-7219	adenosine ribonucleotides de novo biosynthesis	1	0.00644076693
26	SER-GLYSYN-PWY	superpathway of L-serine and glycine biosynthesis I	1	0.006418882432
27	PWY-6126	superpathway of adenosine nucleotides de novo biosynthesis II	1	0.006395885865
28	PWY-7220	adenosine deoxyribonucleotides de novo biosynthesis II	1	0.006374942466
29	PWY-7222	guanosine deoxyribonucleotides de novo biosynthesis II	1	0.006374942466
30	P105-PWY	TCA cycle IV (2-oxoglutarate decarboxylase)	1	0.006271219465
31	PWY0-162	superpathway of pyrimidine ribonucleotides de novo biosynthesis	1	0.00622819309
32	PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II	1	0.006220255961
33	PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis	1	0.006220255961
34	PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I	1	0.00621605363
35	PWY-5686	UMP biosynthesis	1	0.006215832025
36	PWY4FS-7	phosphatidylglycerol biosynthesis I (plastidic)	1	0.006204644638
37	PWY4FS-8	phosphatidylglycerol biosynthesis II (non-plastidic)	1	0.006204644638
38	PWY-7228	superpathway of guanosine nucleotides de novo biosynthesis I	1	0.006168653495
39	PWY-5097	L-lysine biosynthesis VI	1	0.006068391436
40	PWY-841	superpathway of purine nucleotides de novo biosynthesis I	1	0.006068384656
41	COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	1	0.006024889545
42	PWY-6125	superpathway of guanosine nucleotides de novo biosynthesis II	1	0.006016384281
43	ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	1	0.005996632473
44	THRESYN-PWY	superpathway of L-threonine biosynthesis	1	0.005897701334
45	CALVIN-PWY	Calvin-Benson-Bassham cycle	1	0.005897373787
46	TRPSYN-PWY	L-tryptophan biosynthesis	1	0.00585664667
47	PWY-7221	guanosine ribonucleotides de novo biosynthesis	1	0.005810926477
48	P108-PWY	pyruvate fermentation to propanoate I	1	0.005783260358
49	PWY-5659	GDP-mannose biosynthesis	1	0.005774818009
50	PWY-5188	tetrapyrrole biosynthesis I (from glutamate)	1	0.005765097746
51	ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	1	0.005708072888
52	ARO-PWY	chorismate biosynthesis I	1	0.005682371821
53	PWY-5189	tetrapyrrole biosynthesis II (from glycine)	1	0.005585984514
54	GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	1	0.005583877283
55	DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I	1	0.005555020892
56	PWY-6387	UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	1	0.005524295926
57	SALVADEHYPOX-PWY	adenosine nucleotides degradation II	1	0.005511863132
58	GLUCONEO-PWY	gluconeogenesis I	1	0.005483378041
59	PWY-6163	chorismate biosynthesis from 3-dehydroquinate	1	0.005474118028
60	PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (meso-diaminopimelate containing)	1	0.005459380555
61	COA-PWY	coenzyme A biosynthesis I	1	0.005459035432
62	SULFATE-CYS-PWY	superpathway of sulfate assimilation and cysteine biosynthesis	1	0.005450193059
63	RIBOSYN2-PWY	flavin biosynthesis I (bacteria and plants)	1	0.005417955452
64	PWY-6386	UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	1	0.00539236589
65	GLUTORN-PWY	L-ornithine biosynthesis	1	0.005386188044
66	PWY-6608	guanosine nucleotides degradation III	1	0.005354537966
67	PANTO-PWY	phosphopantothenate biosynthesis I	1	0.005354515745
68	PWY-6385	peptidoglycan biosynthesis III (mycobacteria)	1	0.005339701832
69	UDPNAGSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis I	1	0.005335717986
70	PWY-6123	inosine-5'-phosphate biosynthesis I	1	0.005300409854
71	HISTSYN-PWY	L-histidine biosynthesis	1	0.005281426761
72	PENTOSE-P-PWY	pentose phosphate pathway	1	0.005279521561
73	PWY-7197	pyrimidine deoxyribonucleotide phosphorylation	1	0.005227161926
74	DAPLYSINESYN-PWY	L-lysine biosynthesis I	1	0.005227039377
75	PWY0-1261	anhydromuropeptides recycling	1	0.00521967562
76	PANTOSYN-PWY	pantothenate and coenzyme A biosynthesis I	1	0.005171324703
77	ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	1	0.005161780285
78	HEMESYN2-PWY	heme biosynthesis II (anaerobic)	1	0.005159449997
79	PWY0-1586	peptidoglycan maturation (meso-diaminopimelate containing)	1	0.005145596208
80	PWY-7400	L-arginine biosynthesis IV (archaebacteria)	1	0.005142979096
81	PWY-7539	6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)	1	0.005107295328
82	PWY-5484	glycolysis II (from fructose 6-phosphate)	1	0.005090552022
83	TRNA-CHARGING-PWY	tRNA charging	1	0.005035336992
84	PWY-7211	superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis	1	0.005002805239
85	OANTIGEN-PWY	O-antigen building blocks biosynthesis (E. coli)	1	0.004988905458
86	PWY-5121	superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	0.9984202212	0.004972726196
87	NONMEVIPP-PWY	methylerythritol phosphate pathway I	1	0.004946344518
88	PWY-7560	methylerythritol phosphate pathway II	1	0.004946344518
89	PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	1	0.004943453095
90	PWY-7234	inosine-5'-phosphate biosynthesis III	1	0.004927517784
91	PWY-6609	adenine and adenosine salvage III	0.9984202212	0.004906030519
92	SO4ASSIM-PWY	sulfate reduction I (assimilatory)	1	0.004883065513
93	GLYCOLYSIS-TCA-GLYOX-BYPASS	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	0.9984202212	0.004857293604
94	PWY-6897	thiamin salvage II	1	0.004844591289
95	POLYISOPRENSYN-PWY	polyisoprenoid biosynthesis (E. coli)	1	0.004816790157
96	PWY-5345	superpathway of L-methionine biosynthesis (by sulfhydrylation)	1	0.004811361527
97	PWY-6353	purine nucleotides degradation II (aerobic)	0.9984202212	0.004801972243
98	PWY-7184	pyrimidine deoxyribonucleotides de novo biosynthesis I	1	0.004784593173
99	P42-PWY	incomplete reductive TCA cycle	1	0.00478182463
100	ANAEROFRUCAT-PWY	homolactic fermentation	0.9984202212	0.004753032207
101	FOLSYN-PWY	superpathway of tetrahydrofolate biosynthesis and salvage	1	0.00467883323
