claim	current_test	status	permitted_wording	reason	evidence_file
seasonal restructuring	Campaign fixed effects with site-clustered GEE	campaign_difference	Community diversity differed among the five campaigns; the design cannot separate season from campaign and laboratory batch.	Season is structurally aliased with campaign; the analysis therefore reports campaign effects only.	campaign_compartment_model.tsv
14-day post-rain bloom	SUPERSEDED historical diagnostic: trip-adjusted spatial trend model, six-window FDR and campaign omission	superseded	Do not use this historical diagnostic for a rainfall claim; use analysis/v3/rain_response_window/.	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field. Historical surface 14-day q_global=0.549 (q_within_compartment=0.22); LOCO sign-stable=False; residual Moran p=0.001.	../rain_response_window/analysis_decision.json
antecedent-rainfall response in any compartment	SUPERSEDED historical diagnostic: 18 compartment-by-window trip-adjusted spatial trend models	superseded	Do not use this historical diagnostic for a rainfall claim; use analysis/v3/rain_response_window/.	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field. Historical screen: 0/18 tests with q_global<0.05; smallest q_within_compartment=0.066; smallest q_global=0.185.	../rain_response_window/analysis_decision.json
root selective filter	Paired site-level root-adjacent minus surface Shannon	paired_distribution_shift_uncertain_magnitude	The paired distribution shifted toward lower root-adjacent alpha diversity, but the bootstrap interval for the mean crossed zero; treat the magnitude as uncertain and do not infer filtering.	Paired mean difference=-0.130, 95% bootstrap CI [-0.321, 0.079], q=0.0256.	paired_compartment_effects.tsv
subsurface refugium	Campaign-by-compartment GEE and paired campaign contrasts	campaign_dependent_depth_pattern	The 5–10 cm layer had higher paired diversity in Trip 1 and a similar, less precisely estimated shift in Trip 3, but not in Trips 4–5. This is a campaign-dependent depth pattern; persistence, buffering, and reseeding were not measured.	Campaign-by-compartment Wald p=0.00831; Trips 1 and 3 paired effects both positive/FDR-significant=True; Trip 3 mean bootstrap interval crosses zero.	paired_compartment_effects.tsv
XRF salinity mechanism	Separate XRF audit plus forthcoming pH and EC calibration	pending_xrf_ph_ec	Use 'evaporite-associated elemental/mineralogical axis' until independent EC calibration supports a salinity proxy.	XRF-derived salinity is circular without independent EC.	../../xrf_audit/xrf_evidence_report.md
network restructuring	Compositional, null-calibrated network inference	stable_associations_without_robust_density_ordering	Stable null-calibrated conditional associations were recoverable within each compartment, but comparative network density ordering was not robust.	The original near-all-positive pattern and comparative density ordering were not supported by the matched compositional analysis, and a campaign/season comparison was not estimable. Only null-calibrated, site-cluster-stable conditional associations are retained descriptively.	../network_rescue/results/network_metrics.tsv
dispersal limitation from betaNTI/RCBray	Tree/signal/null-model sensitivity grid	weak_or_absent_positive_signal	The tested elemental-axis niche summary lacked the positive short-range phylogenetic signal required for interpreting betaNTI process labels; the earlier assembly percentages are retired.	Do not infer dispersal limitation, homogeneous selection, variable selection, drift, or homogenizing dispersal percentages from the retired betaNTI/RC-Bray analysis.	../phylo_signal_results/phylo_signal_distance_classes.tsv
functional redundancy	Resolution-matched genome-label null	not_robust_to_resolution_matched_null	Encoded-functional turnover was lower than taxonomic turnover, but it exceeded the intact-genome-label null; the reconstructed fraction therefore does not support functional convergence.	The analysis covers only reads assigned to the dereplicated genome catalog. It tests encoded potential, not direct read-level function, expression, activity, or flux. The null reassigns intact annotation profiles and is not a metabolic-network null.	../functional_redundancy_results/functional_redundancy_null.tsv
trace-gas-powered carbon fixation	Joint RuBisCO/PRK source-call screen on recovered genomes	encoded_potential_summary_only	Across 125 matched normalized sample IDs and 3,471 shared KOs, genome-derived and PICRUSt2 KO profiles had median per-sample Spearman correlation 0.743. Agreement for the RuBisCO marker K01601 was weak (rho 0.164). The supplied joint RuBisCO+PRK screen contained 132 positive genome records, supporting candidate encoded CBB potential only.	validation of PICRUSt2 for RuBisCO or another individual rare marker. any genome fraction or a total screened denominator of 2,970 from the supplied local outputs. a complete or active CBB pathway. the sole carbon-fixation route. biological absence from zero marker-screen hits. chemolithoautotrophy, trace-gas oxidation, expression, activity, or flux.	../measured_function_summary_results/pathway_screen.tsv
